episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,non-novelty-performance,2,{'gravity': 4.9}
1,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,non-novelty-performance,2,{'gravity': 4.9}
2,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,non-novelty-performance,2,{'gravity': 4.9}
3,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,non-novelty-performance,2,{'gravity': 4.9}
4,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,non-novelty-performance,2,{'gravity': 4.9}
5,0.0,0.999999,0,{},0.875,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
6,0.0,0.999999,0,{},0.735,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
7,0.0,0.999999,0,{},0.88,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
8,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
9,0.0,0.999999,0,{},0.89,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
10,0.0,0.999999,0,{},0.98,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
11,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
12,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
13,0.0,0.999999,0,{},0.865,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
14,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
15,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
16,0.0,0.999999,0,{},0.865,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
17,0.0,0.999999,0,{},0.865,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
18,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
19,0.0,0.999999,0,{},0.61,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
20,0.0,0.999999,0,{},0.73,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
21,0.0,0.999999,0,{},0.98,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
22,0.0,0.999999,0,{},0.97,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
23,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
24,0.0,0.999999,0,{},1.0,0,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
0,0.0,0.999999,0,{},1.0,1,gravity_5_12,unknown,non-novelty-performance,2,{'gravity': 4.9}
1,0.0,0.999999,0,{},1.0,1,gravity_5_12,unknown,non-novelty-performance,2,{'gravity': 4.9}
2,0.0,0.999999,0,{},1.0,1,gravity_5_12,unknown,non-novelty-performance,2,{'gravity': 4.9}
3,0.0,0.999999,0,{},1.0,1,gravity_5_12,unknown,non-novelty-performance,2,{'gravity': 4.9}
4,0.0,0.999999,0,{},0.91,1,gravity_5_12,unknown,non-novelty-performance,2,{'gravity': 4.9}
5,0.0,0.999999,0,{},1.0,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
6,0.0,0.999999,0,{},0.85,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
7,0.0,0.999999,0,{},1.0,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
8,0.0,0.999999,0,{},0.85,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
9,0.0,0.999999,0,{},0.855,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
10,0.0,0.999999,0,{},0.87,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
11,0.0,0.999999,0,{},0.86,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
12,0.0,0.999999,0,{},0.96,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
13,0.0,0.999999,0,{},0.85,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
14,0.0,0.999999,0,{},0.88,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
15,0.0,0.999999,0,{},0.73,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
16,0.0,0.999999,0,{},1.0,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
17,0.0,0.999999,0,{},0.86,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
18,0.0,0.999999,0,{},0.885,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
19,0.0,0.999999,0,{},0.875,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
20,0.0,0.999999,0,{},0.88,1,gravity_5_12,unknown,novelty,2,{'gravity': 4.9}
